Detection Date,Detection Date,Latitude,Longitude,Lab Status,Detection Num,labels,Detection Normal,Notes,year,month,Num
2020-04-09,2020-04-09,47.665299,-117.42232,Unverified,737524.0,3,-0.20155944377019144,A giant wasp landed on my arm while I was walking on mallon street. I quickly brushed it off as it landed but I was massive with a big orange head and I remember thinking I've never seen a bee with such huge orange head.,2020,4,220
2019-07-06,2019-07-06,46.940812,-119.963979,Unverified,737246.0,3,-1.0300377777670366, ,2019,7,1
2018-07-14,2018-07-14,47.822687,-122.34358799999998,Unverified,736889.0,3,-2.0939470052378057,THIS DATE IS AN ESTIMATE. IT WAS TWO YEARS AGO DURING THE SUMMER. IT DEVOURED A BEE IN FRONT OF ME WHICH IS WHY I REMEMBER IT. I WAS SHOCKED BUT DIDN'T KNOW WHAT IT WAS? THEN I SAW THIS ON THE NEWS..,2018,7,199
2020-04-09,2020-04-09,47.005477,-122.919675,Negative ID,737524.0,0,-0.20155944377019144,i read the article on them about a week ago and noticed these abnormally big looking bees outside my window and made me curious because they were messing around with the small looking hives i have seen before that are usually around houses. i did not not,2020,4,254
2019-09-30,2019-09-30,48.66002,-123.396765,Unverified,737332.0,3,-0.7737459190485881,"I live on the Saanich Peninsula of Vancouver Island.  Last fall, roughly late September, I saw one of these in my garden and made note of it in my garden diary.  I have lived in the PNW for over 60 years and have never before come across such a remarkabl",2019,9,254
2019-10-30,2019-10-30,47.241065,-122.269603,Unverified,737362.0,3,-0.6843417822863387, ,2019,10,1
2020-04-11,2020-04-11,47.38077,-122.65212,Unverified,737526.0,3,-0.19559916798604146,Seen twice last few days,2020,4,24
2020-04-10,2020-04-10,46.521513,-117.012612,Unverified,737525.0,3,-0.1985793058781164,Flying past us near our house. Did not find a nest. We have many wild honeybee nests all around us. Last year found a huge pile of honeybees in our pasture dead and dying on the ground. I do have pictures but will have to search for them.,2020,4,238
2020-04-11,2020-04-11,48.096743,-120.458737,Unverified,737526.0,3,-0.19559916798604146,"Had a hive that was starting to do its spring activity.  Yesterday, no bees anywhere.  Still lots of honey in the hive.  Could this be the Wasp?  On the county line Snohimish/Skagit on hwy 530.",2020,4,193
2020-04-08,2020-04-08,47.613333,-122.19203,Unverified,737523.0,3,-0.2045395816622664,"I saw the very large hornet ""sniffing"" around one of my potted climbing roses. I live on the 9th floor of an apartment building in Bellevue, WA. We are East facing over the 405 freeway near Bellevue City Hall. It was so large it was rather startling and",2020,4,253
2020-04-12,2020-04-12,48.14981,-123.13306,Negative ID,737527.0,0,-0.19261903009396647,Was dead on the ground..looked like it had Larvae.  Large park across the street,2020,4,80
2020-04-02,2020-04-02,48.291902,-122.521527,Unverified,737517.0,3,-0.2224204090147163,"Saw this one who spent the morning either on the dirt or flying under my house, back and fort.   My wife was alarmed and gave me the electric swatted.   I went out and zapped it a few time before it quit moving. I remember seeing a giant stinger and was",2020,4,253
2020-04-11,2020-04-11,47.859496,-122.26428,Negative ID,737526.0,0,-0.19559916798604146,"My initial thought was, ""this looks like a huge bumblebee. It was sluggish, appx. 1.25"" long, and I moved it from patio to lawn.  I don't believe it's the Asian hornet, but would like to know if you can identify it. Is it dangerous?",2020,4,232
2020-04-12,2020-04-12,47.676217,-122.113955,Unverified,737527.0,3,-0.19261903009396647,Saw a giant hornet flying near our porch. Did not bother us but was investigating an area where we commonly have other wasps.,2020,4,125
2020-04-10,2020-04-10,47.946801,-122.24568899999998,Unverified,737525.0,3,-0.1985793058781164,"My girlfriend was digging a flower bed behind the house and one of these giant hornets came out of the dirt and flew past her, it looked like it might have been a mole tunnel that it came from.",2020,4,193
2020-04-11,2020-04-11,47.562359,-122.038914,Unverified,737526.0,3,-0.19559916798604146,"Sorry, we don't have a photo, but my husband and I were sitting on our deck in Sammamish and a VERY large bumble bee flew around us for several minutes. It was bigger than any we've seen before. Then on Saturday night, we had to take our dog to an emerge",2020,4,254
2020-04-13,2020-04-13,48.74478,-122.478403,Negative ID,737528.0,0,-0.18963889220189148,"Over an inch long. I have single-paned windows and I only noticed my window thumping because I thought it was wind. It was this bug flying into the window repeatedly. I thought the time of day was strange, along with it’s size. It was not not skinny.",2020,4,250
2020-04-12,2020-04-12,47.916729,-124.530363,Unverified,737527.0,3,-0.19261903009396647,it was bumping around my house.  (I'd left the door open). I caught it in a glass to release it and thought it was so weird looking I'd save it to show the grandkids but it was so angry I released it.  then THIS morning I saw the information identifying,2020,4,253
2020-04-10,2020-04-10,47.665515,-122.33873,Negative ID,737525.0,0,-0.1985793058781164,"Very large wasp that landed on my window ledge, see picture.  I did not know at the time to look for an orange face, I don't know what the face color was.  The window ledge is about 3 inches",2020,4,190
2020-04-12,2020-04-12,47.669197,-122.289611,Unverified,737527.0,3,-0.19261903009396647,"Couldn’t get a photo. It was 0.5-1” long and looked like a bee, not as much like a wasp, but not one I had ever seen before. It was buzzing around in a back corner of our yard close to the ground",2020,4,195
2019-08-15,2019-08-15,47.243563,-122.340564,Unverified,737286.0,3,-0.9108322620840374,"I am a geologist, was working on a geotechnical exploration in Fife and an asian giant hornet came up to inspect me and landed momentarily a few feet away. I did not realize they were invasive at the time but feel positive in my identification because I",2019,8,253
2020-03-04,2020-03-04,47.634119,-122.646627,Negative ID,737488.0,0,-0.3088444078848908,"I am not sure what this is, but I saw this on my living room wall one evening.  I had returned from visiting my daughter in Tx  on Feb 11, 2020,  who had been in Thailand in January.",2020,3,182
2020-04-06,2020-04-06,48.736447,-122.46473,Unverified,737521.0,3,-0.2104998574464164,"I was watering my plants at the windowsill when I heard a buzzing sound and a giant wasp was flying around the window and actually bumped into it. It was hovering for about 10-15 seconds before flying away, and before I could capture a photo. I was compl",2020,4,254
2020-04-14,2020-04-14,47.643943,-122.623737,Negative ID,737529.0,0,-0.1866587543098165,"Walking in our field observed these bugs hovering around the ground, & then going into holes.  I’m not sure they’re Asian hornets, because they’re the approximate size of a honey bee.",2020,4,183
2020-04-14,2020-04-14,48.734703,-122.668193,Unverified,737529.0,3,-0.1866587543098165,I saw it on my back porch screen door. However it flew off before I was able to take a photo.,2020,4,93
2020-04-12,2020-04-12,47.639437,-122.385481,Unverified,737527.0,3,-0.19261903009396647,Looked dead or dying. Pretty sure it was an Asian hornet. Had the reddish/orange color and was in about 1.5 inches long,2020,4,119
2017-06-01,2017-06-01,48.06114,-122.1769,Unverified,736481.0,3,-3.3098432652043988,"I tried to report some sightings a few years ago and nobody got back to me.  I used to deliver packages for FedEx and there is a street where I saw one of these on 3 different occasions.  Don’t have a photo, but I describe as huge and dark orange.",2017,6,247
2020-04-13,2020-04-13,48.588408,-122.409922,Negative ID,737528.0,0,-0.18963889220189148,"Our AWESOME dog caught and chewed this monster hornet, so it has saliva and mud on the body. My son severed the neck - as it was writhing. I have saved it to submit if someone wants it.",2020,4,185
2013-08-31,2013-08-31,48.653248,-122.850697,Negative ID,735111.0,0,-7.392632177347126,"Photo taken August of 2013 at Moran State Park. Massive hornet/wasp whose stinger was close to an inch long. In the photo the stinger is kind of hidden behind the wing, but the stinger extends past it a bit.",2013,8,207
2020-04-10,2020-04-10,47.152745,-119.367377,Unverified,737525.0,3,-0.1985793058781164,Was sitting still on the porch upper eaves about 4 feet from an actively yellow jacket hive being built it was the biggest bee I have ever seen with the orange color. I didn't realize what it was,2020,4,195
2020-04-12,2020-04-12,48.03966,-122.7768,Unverified,737527.0,3,-0.19261903009396647,The stinger was half as long as the body. It hovered over me as I sat there. The head looked like it had a small helmet on. Then it flew away.,2020,4,142
2020-04-14,2020-04-14,46.25472,-120.84395,Negative ID,737529.0,0,-0.1866587543098165,This bee is larger as a normal bee,2020,4,34
2019-09-08,2019-09-08,47.296322,-119.583179,Unverified,737310.0,3,-0.8393089526742378,In Ephrata Washington,2019,9,21
2020-04-13,2020-04-13,47.603492,-122.33652,Unverified,737528.0,3,-0.18963889220189148,The suspected Asian hornett was 1.5 inches long and resembled the photo on your site.  I definitely was snot any of the other pictures shown.  It came into the room when I opened the sliding screen and stayed on the screen until I shooed it way.  then it,2020,4,254
2020-04-15,2020-04-15,47.573024,-122.384369,Negative ID,737530.0,0,-0.1836786164177415,"Not Asian Giant Hornet but large, different than I have seen in West Seattle and hard to kill, so here it is.",2020,4,109
2020-04-14,2020-04-14,47.568535,-122.636847,Unverified,737529.0,3,-0.1866587543098165,"I saw this huge hornet in my backyard. I’ve never seen a hornet like that before (WA native). It was huge. I sprayed it with my hose and tried to kill it, but when I came back outside later it was gone.",2020,4,202
2020-04-11,2020-04-11,48.85324,-122.601104,Negative ID,737526.0,0,-0.19559916798604146,"This bee was at my hummingbird feeder. I wasn’t able to get a very good photo, so it might be impossible to tell.  The bee looked particularly large and reminded me of one I saw about a month ago but was unable to photograph.  It landed on my kitchen w",2020,4,252
2020-04-15,2020-04-15,48.530016,-122.39823,Unverified,737530.0,3,-0.1836786164177415,"Hornet not seen, but we have a dead honeybee hive.",2020,4,50
2020-04-12,2020-04-12,48.578994,-122.342321,Unverified,737527.0,3,-0.19261903009396647,"I heard a loud buzzing and my first thought when I saw it moving across the room was large horsefly (I didn't have my contacts in), but it was bigger than that. I followed it from my bedroom into the bathroom where it flew into the shower (I live in an R",2020,4,254
2020-04-14,2020-04-14,48.73459,-122.460162,Unverified,737529.0,3,-0.1866587543098165,"Size of a bumble bee, but it wasn’t so I took a closer look, alarmed by its size. I’ll try to get a photo tomorrow.",2020,4,115
2018-07-20,2018-07-20,47.31936,-119.55513,Negative ID,736895.0,0,-2.076066177885356,I was told to send this to you guys even though it was 2 years ago. I've seen about 3 since then around george and quincy area. I had no idea we werent supposed to kill them.,2018,7,174
2020-04-15,2020-04-15,48.823528,-122.326829,Negative ID,737530.0,0,-0.1836786164177415,Trapped this one,2020,4,16
2020-04-15,2020-04-15,48.823521,-122.32684,Negative ID,737530.0,0,-0.1836786164177415, ,2020,4,1
2019-08-18,2019-08-18,47.345423,-122.082943,Unverified,737289.0,3,-0.9018918484078124,"nested in an old tree stump. while trying to remove the stump I was stung by one. it was the biggest bee I had ever seen! as long as my thumb. I had pest services in for removal/poisoning. I tried to get pictures, but they immediately retreated in deeper",2019,8,254
2020-04-15,2020-04-15,47.00083,-122.877588,Negative ID,737530.0,0,-0.1836786164177415,It is very near the house but in the dirt.  It seemed to be looking for something in the dirt.,2020,4,94
2020-04-14,2020-04-14,48.068763,-122.132522,Unverified,737529.0,3,-0.1866587543098165,"Possibly two individuals in Marysville, WA. One flew by and one then one was on a rhododendron (coul have been the same one as I didn't see the first one land). Went to grab my phone to take a pic but it flew away. I am very familiar with other stinging",2020,4,253
2020-04-16,2020-04-16,47.676217,-122.113955,Unverified,737531.0,3,-0.18069847852566653,"Hornet was seen flying near our patio, tried to grab a photo but they are quick!",2020,4,80
2020-04-17,2020-04-17,49.0022,-122.42964,Unverified,737532.0,3,-0.17771834063359154,"Very large hornet, yellow face with black thorax and bright yellow stripes.  About 1.5 inches long. Flew back to Canada after buzzing my vehicle while I was parked.",2020,4,164
2018-06-19,2018-06-19,47.234952,-120.006942,Negative ID,736864.0,0,-2.1684504525396804,"Found this in my horses water tank near  Trinidad, Wa.",2018,6,54
2020-04-13,2020-04-13,48.234785,-122.512932,Negative ID,737528.0,0,-0.18963889220189148,"It is a little over 1 inch, and I doubt that it is an Asian Giant Hornet. However, it doesn't look enough like what I am familiar with.",2020,4,135
2020-04-17,2020-04-17,48.723593,-122.467507,Unverified,737532.0,3,-0.17771834063359154,"Two sightings this week, 918 38th st. BELLINGHAM, WA",2020,4,52
2020-04-15,2020-04-15,48.93325,-122.72628,Unverified,737530.0,3,-0.1836786164177415,"Larger wasp size, orange head with loud buzzing",2020,4,47
2020-04-17,2020-04-17,48.786983,-122.464938,Negative ID,737532.0,0,-0.17771834063359154,"Glengary Rd, Bellingham, WA. There is a big bee nest appeared out of nowhere on top of the mail box.",2020,4,100
2019-08-25,2019-08-25,47.767236,-122.203342,Negative ID,737296.0,0,-0.8810308831632876, ,2019,8,1
2020-04-17,2020-04-17,47.683201,-117.290349,Unverified,737532.0,3,-0.17771834063359154,It was about 2 inches long and had a really big yellow face. Unfortunately I didn’t get a picture as he moved on pretty fast.,2020,4,125
2020-04-16,2020-04-16,47.831406,-122.192662,Unverified,737531.0,3,-0.18069847852566653,I have seen them around my for the past couple days.,2020,4,52
2020-04-18,2020-04-18,48.96192,-122.50711,Unverified,737533.0,3,-0.17473820274151655,Siting in Berthasen park near Lynden WA,2020,4,39
2020-04-18,2020-04-18,48.419991,-122.327865,Negative ID,737533.0,0,-0.17473820274151655,Much bigger than a Yellowjacket we s aw at the same time. Around 2 inches long,2020,4,78
